participant,session,condition,totalAmountOfMovementP1,totalAmountOfMovementP2
4,22,integration,1.4077726223041342,1.2715418980976456
4,23,integration,1.3744396492437587,1.4809897026182284
4,24,integration,1.6127997641307603,1.580352547790138
4,25,integration,1.6825293865165596,1.3126100646365175
4,26,integration,1.239819579683152,1.473814479646382
4,27,integration,1.255410441770529,1.484521316167787
4,28,integration,1.645244204467023,1.5177862917784546
4,29,integration,1.4686308740677314,1.3937317530417366
4,30,integration,1.5358373501772542,1.47489899844544
4,31,integration,1.607702267149966,1.4430196272278557
4,32,integration,1.6707874403130831,1.1506783855968703
4,1,compatibility,1.373150565897526,1.301276376572314
4,2,compatibility,1.6831004135987555,1.0798936964456711
4,1,post,1.3271512016860747,
4,2,post,1.3123443548859182,
4,3,post,1.4298694964083758,
4,4,post,1.4019033014754785,
4,5,post,1.141312234339727,
4,6,post,1.218293491156578,
4,7,post,1.359269767112021,
4,8,post,1.220864891117288,
4,9,post,1.194631659081626,
4,10,post,1.2460851244650963,
5,1,pre,1.1486186001399386,
5,2,pre,1.240171551621143,
5,3,pre,1.120205474804144,
5,4,pre,1.1984114419930716,
5,5,pre,1.2411573157286568,
5,6,pre,1.2430006983652355,
5,7,pre,1.3055936039902023,
5,8,pre,1.5564854186829122,
5,9,pre,1.2656541302883566,
5,10,pre,1.1110474202592862,
5,1,integration,1.012170586469214,1.510676799890156
5,2,integration,1.4089116643534871,1.5370030603838454
5,3,integration,1.4543300428699075,1.3586712831876444
5,4,integration,1.1767570500057736,1.6260908375373773
5,5,integration,1.1693288326610085,1.431303139869624
5,6,integration,1.269136865864636,1.5003998069336375
5,7,integration,1.608955153757246,1.394522992237299
5,8,integration,1.0100307258867005,1.4875023180891742
5,9,integration,1.4738964446996232,1.4022508652840613
5,10,integration,1.3767935072514397,1.196858865593708
5,11,integration,1.415105999222551,1.3491082327562776
5,12,integration,1.325778177583376,1.4715872070526306
5,13,integration,1.2801874916041922,1.2779765053345729
5,14,integration,1.274528466116596,1.4127769479355914
5,15,integration,1.4164655744607,1.370305327781431
5,16,integration,1.4301569462047008,1.349228320058256
5,17,integration,1.3335259659926142,1.3758869948164738
5,18,integration,1.4223307341183886,1.5917172591815911
5,19,integration,1.5253735197537113,1.0402749918712828
